Idx,Losses,AccTest,AccTrain
0,0.58693534,0.6840278,0.7190305
1,0.53802526,0.7604167,0.77109516
2,0.5138883,0.75,0.76032317
3,0.4953465,0.7916667,0.8043088
4,0.4606863,0.7743056,0.80969477
5,0.43943483,0.7916667,0.82405746
6,0.41677973,0.8159722,0.83752245
7,0.40942273,0.8020833,0.8420108
8,0.39656764,0.7951389,0.84829444
9,0.38526738,0.7847222,0.8563734
10,0.37400454,0.8159722,0.86265707
11,0.35206327,0.8125,0.87612206
12,0.33320802,0.8055556,0.88240576
13,0.31948802,0.8055556,0.88689405
14,0.30709675,0.8020833,0.8967684
15,0.30063555,0.7881944,0.9030521
16,0.28053516,0.8055556,0.9129264
17,0.2771956,0.7951389,0.9102334
18,0.27797383,0.8055556,0.92369837
19,0.26255795,0.7638889,0.92908436
20,0.25463828,0.7638889,0.9308797
21,0.24813229,0.7743056,0.9362657
22,0.23091449,0.78125,0.9389587
23,0.22980256,0.8020833,0.94254935
24,0.22068864,0.7881944,0.94614005
25,0.21531785,0.7881944,0.95062834
26,0.21606743,0.7777778,0.95332134
27,0.2186903,0.7951389,0.95062834
28,0.21095759,0.7708333,0.94793534
29,0.20041214,0.7777778,0.95421904
30,0.19694363,0.7881944,0.95421904
31,0.18138826,0.8020833,0.9640933
32,0.17831016,0.8020833,0.96140033
33,0.17099705,0.8159722,0.95960504
34,0.16425717,0.7951389,0.96499103
35,0.1595128,0.7881944,0.96768403
36,0.16595966,0.7881944,0.9667864
37,0.15262197,0.7847222,0.9640933
38,0.1394409,0.7986111,0.9721724
39,0.13964716,0.7847222,0.975763
40,0.13974041,0.78125,0.97666067
41,0.13811606,0.7847222,0.9739677
42,0.13663779,0.7881944,0.97666067
43,0.13636054,0.7881944,0.97935367
44,0.1333804,0.7847222,0.978456
45,0.13447748,0.7777778,0.9802514
46,0.11198134,0.7743056,0.98204666
47,0.12041638,0.7743056,0.983842
48,0.11642486,0.7881944,0.981149
49,0.12778504,0.7847222,0.97935367
50,0.104475275,0.78125,0.99012566
51,0.10531063,0.7638889,0.986535
52,0.113438345,0.7743056,0.983842
53,0.1095361,0.7673611,0.989228
54,0.122890614,0.7604167,0.981149
55,0.11827728,0.7916667,0.99012566
56,0.10441807,0.7743056,0.99012566
57,0.09488191,0.78125,0.99102336
58,0.09089541,0.7743056,0.994614
59,0.07669391,0.78125,0.99102336
60,0.07600988,0.7743056,0.991921
61,0.08436754,0.7743056,0.99551165
62,0.0936716,0.7708333,0.99371636
63,0.0908429,0.7777778,0.99012566
64,0.0909632,0.7916667,0.99012566
65,0.092338644,0.7673611,0.994614
66,0.0960924,0.7673611,0.98833036
67,0.08130727,0.7881944,0.99281865
68,0.072503746,0.7708333,0.99371636
69,0.07693459,0.7638889,0.99820465
70,0.06897807,0.7708333,0.99820465
71,0.06432388,0.7708333,0.99551165
72,0.0674732,0.78125,0.99640936
73,0.061294366,0.7881944,1.0
74,0.06253525,0.7986111,0.99820465
75,0.0664722,0.78125,1.0
76,0.06284815,0.7708333,0.99820465
77,0.074387066,0.78125,0.994614
78,0.057613626,0.7916667,0.997307
79,0.05946454,0.7916667,0.99640936
80,0.06924596,0.7916667,0.997307
81,0.07131621,0.7777778,0.997307
82,0.06999604,0.7951389,0.994614
83,0.06623455,0.78125,0.99371636
84,0.06467779,0.7847222,0.997307
85,0.054200973,0.78125,0.99820465
86,0.060336992,0.7916667,0.997307
87,0.055690143,0.7777778,1.0
88,0.062252805,0.7743056,1.0
89,0.05795388,0.7743056,0.99910235
90,0.049061224,0.7673611,0.997307
91,0.048505865,0.7743056,0.99820465
92,0.042190913,0.7777778,0.99820465
93,0.04896265,0.7847222,0.99820465
94,0.051109523,0.7986111,0.99820465
95,0.050119657,0.7916667,0.99910235
96,0.051191237,0.7916667,0.99910235
97,0.04584344,0.7777778,0.997307
98,0.04187019,0.7916667,0.99910235
99,0.0435403,0.7881944,1.0
